"Timestamp","Which year are you?","Have you lived on campus before or currently?","Which college dorms/apartments have you lived in?","Have you done your laundry on-campus before?","How many times a month do you do laundry on campus?","How satisfied are you with your laundry experience at UCSD?","Have you encountered any issues while doing laundry on campus?","Do you have any other comments/concerns? (systemwise)"
"2017/05/22 3:26:11 PM CDT","Sophomore","Yes","Revelle","Yes","4","5","People don't remove lint from the dryers and don't keep the washing machine doors open when not in use. Sometimes the machines are kind of dirty. ",""
"2017/05/22 3:29:11 PM CDT","Sophomore","Yes","Sixth","Yes","2","5","Theft if any items are left behind they tend to go missing :( ",""
"2017/05/22 3:31:16 PM CDT","Sophomore","Yes","Warren","Yes","2","5","","Laundry account separate from tritoncash is a bad system"
"2017/05/22 3:31:28 PM CDT","Freshman","Yes","Warren","Yes","5","3","There are not enough washers, and often times washing machines remain broken for 3 months at a time, limiting an entire apartment hall to 3 washing machines, which is not nearly enough. ","The price of laundry is too expensive. "
"2017/05/22 3:33:19 PM CDT","Sophomore","Yes","Warren","Yes","4","7","Not a lot of washers/dryers. Small washers",""
"2017/05/22 3:34:00 PM CDT","Senior","Yes","Marshall;Muir;The Village","Yes","6","4","In the village: machines are always broken. The laundry room cannot support so many people that need to do laundry. ",""
"2017/05/22 3:34:51 PM CDT","Sophomore","Yes","ERC;Muir;Sixth","Yes","3","7","Dryer burn",""
"2017/05/22 3:37:07 PM CDT","Sophomore","Yes","ERC","Yes","2","8","The laundry rooms especially the ones for freshmen are too cramped and disgustingly flooded and dirty. ","I often don't find out I'm out of laundry money until I get to the laundry room, so it'd be nicer if we could just do laundry as we pleased and then get billed for it at the end of the year. "
"2017/05/22 3:38:30 PM CDT","Sophomore","Yes","Sixth","Yes","3","5","It's common for people to leave their laundry in machines even when it is done. Machines also break often",""
"2017/05/22 3:41:33 PM CDT","Sophomore","Yes","Sixth","Yes","2","4","Not enough washers/dryers at times","N/A"
"2017/05/22 3:46:24 PM CDT","Freshman","Yes","Warren","Yes","2","5","Yes, faulty washers and dryers",""
"2017/05/22 3:46:53 PM CDT","Freshman","Yes","Muir","Yes","2","5","Washers are way too small and there's not enough. 2 washers and dryers for 90 people? wtf?","N/A"
"2017/05/22 3:49:00 PM CDT","Junior","Yes","Revelle;Sixth","Yes","4","7","Other than people taking out my clothes because they couldn't wait 5mins for me to get my clothes out of the washer","It's alright but idk how it is now because I live off campus"
"2017/05/22 3:49:00 PM CDT","Freshman","Yes","Muir","Yes","3","2","Yes. It's common for both dryers to be out and one has been out for months.",""
"2017/05/22 3:53:02 PM CDT","Senior","Yes","Warren","Yes","4","3","","Would prefer the use of quarters to rather than tritoncash"
"2017/05/22 3:54:13 PM CDT","Junior","Yes","Revelle;Sixth","Yes","4","7","Other than people taking out my clothes because they couldn't wait 5mins for me to get my clothes out of the washer","It's alright but idk how it is now because I live off campus"
"2017/05/22 3:59:13 PM CDT","Sophomore","Yes","Revelle","Yes","1","5","No","I don't think the laundry account is needed. "
"2017/05/22 4:06:50 PM CDT","Junior","Yes","Sixth","Yes","2","6","","It's expensive"
"2017/05/22 4:06:51 PM CDT","Junior","Yes","Sixth","Yes","2","6","","It's expensive"
"2017/05/22 4:07:08 PM CDT","Freshman","Yes","Marshall","Yes","5","3","Dryer not only making clothes hot and not dry","Washing machine feels like it doesnt actually clean clothes, gunk maintenance"
"2017/05/22 4:14:37 PM CDT","Freshman","No","Warren","Yes","4","1","their machines suck....doesn't dry completely",""
"2017/05/22 4:18:03 PM CDT","Sophomore","Yes","Marshall","Yes","3","4","Broken washing machine, not enough washing machines",""
"2017/05/22 4:18:47 PM CDT","Sophomore","Yes","Warren","Yes","3","8","not really","sometimes people leave their laundry in the machines and that's annoying, but otherwise, no."
"2017/05/22 4:20:24 PM CDT","Freshman","Yes","Sixth","Yes","2","9","People not taking their stuff out",""
"2017/05/22 4:24:10 PM CDT","Sophomore","Yes","Marshall","Yes","1","6","sometimes the clothes are not fully washed or they get dirty from whatever was inside",""
"2017/05/22 4:24:51 PM CDT","Senior","Yes","Revelle;The Village","Yes","2","7","Machines in the Village seem to break down rather quickly. ",""
"2017/05/22 4:26:45 PM CDT","Junior","Yes","Revelle","Yes","2","5","",""
"2017/05/22 4:32:36 PM CDT","Sophomore","Yes","ERC;Revelle","Yes","3","4","Dryer doesn't fully dry clothes with the default price/time must add extra time/pay more. Washer does not work well with blankets/sheets, even if washing one blanket per washer, the spin cycle on the washer does not properly get rid of excess moisture.","Macchines often broke/takes long time to get fixed."
"2017/05/22 4:32:54 PM CDT","Junior","Yes","Sixth","Yes","4","7","Some machines don't work, and end up taking your money with no chance of refund. ",""
"2017/05/22 4:34:33 PM CDT","Freshman","Yes","ERC","Yes","2","7","",""
"2017/05/22 4:39:54 PM CDT","Freshman","Yes","Revelle","Yes","4","6","",""
"2017/05/22 4:43:27 PM CDT","Freshman","Yes","Warren","Yes","4","3","All washing machines were down and students were not informed into several days later. Did not provide estimate on when any would be fixed. People leave their laundry on machines even hours after theyre done",""
"2017/05/22 4:49:55 PM CDT","Freshman","Yes","Sixth","Yes","7","7","Too much detergent
",""
"2017/05/22 4:54:10 PM CDT","Sophomore","Yes","Warren","Yes","1","10","No","No"
"2017/05/22 4:57:33 PM CDT","Junior","Yes","Marshall","Yes","0","7","when all the dryers are full is the biggest problem","more dryers, more washers, a better system or set of rules for what is/is not okay to do when someone's laundry finishes but remains in a dryer/washer"
"2017/05/22 5:03:42 PM CDT","Sophomore","Yes","Marshall;Revelle;Sixth","Yes","2","7","Often the machines are out of order",""
"2017/05/22 5:13:47 PM CDT","Freshman","Yes","Revelle","Yes","4","6","There aren't enough washers and dryers in the res halls, It leads to traffic and people putting your clothes on the washer or on the floor sometimes. :/",""
"2017/05/22 5:14:46 PM CDT","Freshman","Yes","Marshall","Yes","7","4","Machines are often broken or in use; people forget to remove their laundry for a really long time",""
"2017/05/22 5:16:14 PM CDT","Senior","Yes","Revelle;The Village","Yes","3","6","dryers can be weak",""
"2017/05/22 5:21:54 PM CDT","Sophomore","Yes","ERC;Marshall;Muir;Revelle;Sixth;Warren;The Village","Yes","10","10","6996 ","Donald Trump for Prez"
"2017/05/22 5:26:56 PM CDT","Freshman","Yes","Warren","Yes","3","2","",""
"2017/05/22 5:27:21 PM CDT","Sophomore","Yes","Muir","Yes","4","3","Half the time the dryers are out of service with no sign and then you waste like 1.50 and have no dry clothes ",""
"2017/05/22 5:29:16 PM CDT","Junior","Yes","ERC","Yes","2","8","not with the laundry facilities specifically",""
"2017/05/22 5:30:51 PM CDT","Freshman","Yes","Sixth","Yes","4","8","I paid for the washer, but it didnt work and my money was gone :(","pls fix some washers/dryers at the dogghouse"
"2017/05/22 5:32:22 PM CDT","Freshman","Yes","Warren","Yes","2","5","",""
"2017/05/22 5:44:15 PM CDT","Sophomore","No","Sixth","Yes","10","10","Ok","Ok"
"2017/05/22 5:44:50 PM CDT","Freshman","Yes","Sixth","Yes","2","5","Stagnant water in washer, hay and grass in washer, people leaving clothes in hours past when they are done washing ","If someone finds your id, there is no check at laundry rooms meaning anyone can swipe your card and use your laundry dollars if they find it. "
"2017/05/22 5:46:12 PM CDT","Sophomore","Yes","Warren","Yes","3","0","Machines are broken, too little machines","everything sucks"
"2017/05/22 5:48:26 PM CDT","Freshman","Yes","Muir","Yes","6","9","No","No"
"2017/05/22 5:50:50 PM CDT","Sophomore","Yes","Sixth","Yes","8","7","Washers are much smaller in sixth, and the rubber between the door and machine leaves a gap where clothes could get stuck in during a cycle, making you have to rehash it",""
"2017/05/22 5:55:05 PM CDT","Sophomore","Yes","ERC","Yes","4","2","Dirty/Gross Laundry Facilities, Broken Machines","The ERC laundry facilities are located very far away from many of the dorms/apartments, such as Africa Hall. This makes it very inconvenient to do laundry."
"2017/05/22 6:07:08 PM CDT","Freshman","Yes","Warren","Yes","4","5","",""
"2017/05/22 6:08:46 PM CDT","Sophomore","Yes","Warren","No","0","0","",""
"2017/05/22 6:08:50 PM CDT","Senior","Yes","Marshall","Yes","2","5","People not taking their load out when their laundry is already done, drying machine adding time automatically (ended up having to check multiple times to see if the load is ready to take out)",""
"2017/05/22 6:11:36 PM CDT","Freshman","Yes","Sixth","Yes","4","8","All machines are filled sometimes and some laundry rooms are kinda far ",""
"2017/05/22 6:17:09 PM CDT","Freshman","Yes","Marshall","Yes","2","7","One time the dryer didn't work after I had already paid. And I didn't get my money back. Also the washing machines need to be cleaned (they smell kinda off).",""
"2017/05/22 6:20:07 PM CDT","Sophomore","Yes","Marshall","Yes","4","2","Clothes not cleaned","Very expensive, can't use dining dollars on laundry"
"2017/05/22 6:20:18 PM CDT","Sophomore","Yes","Warren","Yes","2","6","Washer/dryers all full, clothes still wet after dryer",""
"2017/05/22 6:21:42 PM CDT","Freshman","Yes","Sixth","Yes","2","5","slightly expensive and machines don't fit much clothes",""
"2017/05/22 6:26:19 PM CDT","Junior","Yes","ERC;Warren","Yes","2","5","lack of machines, machines too frequently eating socks, clothes sometimes (but rarely) not washed thoroughly, machines breaking a lot, small units can't wash blankets, ",""
"2017/05/22 6:41:26 PM CDT","Junior","Yes","Revelle","Yes","1","3","A good portion of the machines being out of order, or the dryers not completely drying my clothes.","why is laundry so expensive??"
"2017/05/22 6:45:18 PM CDT","Sophomore","Yes","Muir","Yes","4","1","",""
"2017/05/22 6:45:29 PM CDT","Freshman","Yes","Muir","Yes","4","4","Washer/dryer broken sometimes, not enough washers/dryers in the res halls for the amount of people who live there, dryers don't always dry the clothes fully, even if on the highest heat.",""
"2017/05/22 6:56:50 PM CDT","Senior","Yes","ERC;The Village","Yes","3","5","Broken machines or having to wait for people to grab their laundry","should have a phone number you can enter so that people can get a text when their laundry is finished"
"2017/05/22 7:07:01 PM CDT","Freshman","Yes","Sixth","Yes","3","9","",""
"2017/05/22 7:08:50 PM CDT","Freshman","Yes","Muir","Yes","4","6","Depending on the setting it either burns clothes or doesn't dry them at all",""
"2017/05/22 7:22:01 PM CDT","Junior","Yes","Marshall","Yes","1","10","no",""
"2017/05/22 7:29:20 PM CDT","Freshman","Yes","Revelle","Yes","4","3","Machines usually look dirty and they are usually late to respond when one breaks down.","Maintenance should be improved"
"2017/05/22 7:31:23 PM CDT","Freshman","Yes","Marshall","Yes","4","5","Machine stopped because someone opened it",""
"2017/05/22 7:37:42 PM CDT","Sophomore","Yes","ERC","Yes","1","5","",""
"2017/05/22 7:37:50 PM CDT","Sophomore","Yes","Warren","Yes","3","5","",""
"2017/05/22 7:59:04 PM CDT","Freshman","Yes","Muir","Yes","2","5","Yes there was a period of time when all the machines were broken",""
"2017/05/22 7:59:32 PM CDT","Freshman","Yes","Muir","Yes","5","6","Yes, there have been multiple times where the machines simply don't work and take a while to get repaired. In addition, one of my t-shirts got burned and ruined because it got trapped in the dryer.","Overall the system is good but sometimes lacking in machines, one needs to wait to use them."
"2017/05/22 8:04:09 PM CDT","Freshman","Yes","ERC","Yes","2","3","Yes",""
"2017/05/22 8:06:21 PM CDT","Sophomore","Yes","Warren","Yes","4","2","2/4 washers in my building (6 floors, 4/5 people per apartment, 7ish aparments per floor) have been broken for a month. Dryers don't really dry. One of the washers made my clothes sopping wet. I had to squeeze out water before putting it in the dryer. ",""
"2017/05/22 8:08:04 PM CDT","Freshman","Yes","Revelle","Yes","1","5","Pain to only have 2 machines for 80+ people",""
"2017/05/22 8:09:22 PM CDT","Sophomore","Yes","Muir","Yes","3","7","Washing machines don't work correctly and my clothes end up soaking wet. 3+ cycles in the dryers still don't fully dry them.","I wish they would switch back to just using triton cash. It's annoying having to add money into a seperate laundry account."
"2017/05/22 8:19:12 PM CDT","Freshman","Yes","ERC","Yes","3","1","My clothes took over 4 dyer cycles to dry",""
"2017/05/22 8:25:08 PM CDT","Sophomore","Yes","Marshall","Yes","2","7","broken dryer","let's impeach trump"
"2017/05/22 8:26:19 PM CDT","Junior","Yes","Revelle;Sixth;Warren","Yes","3","3","Washers and dryers break often and take forever to be repaired. ","Laundry account system is inconvenient, the old system of using Tritoncash was better"
"2017/05/22 8:29:12 PM CDT","Sophomore","Yes","Marshall","Yes","4","0","never enough machines available for uppers, some machines will be out of order but not say so, machines are old and dirty and falling apart",""
"2017/05/22 8:32:01 PM CDT","Freshman","Yes","Warren","Yes","5","9","not really... sometimes there is no empty machines",""
"2017/05/22 8:46:29 PM CDT","Freshman","Yes","Muir","Yes","4","4","broken or dirty washers/dryers","we don't get many washers so when one breaks it's a real disaster. also please clean them more :("
"2017/05/22 8:52:58 PM CDT","Freshman","Yes","Marshall","Yes","3","8","Sometimes we only find out machines don't work after it takes our money",""
"2017/05/22 8:57:56 PM CDT","Freshman","Yes","ERC","Yes","4","10","Sometimes the machines do not work and read ""ez"" or something like that, and you just have to open and close the doors again and it works. ",""
"2017/05/22 9:00:46 PM CDT","Freshman","Yes","Revelle","Yes","6","2","Dryer doesn't always dry clothes all the way. The dryer yesterday made this horrible screeching sound for an hour. Last time I did laundry water didn't run in the washer so I had to redo my whole load. ",""
"2017/05/22 9:05:15 PM CDT","Freshman","Yes","Revelle","Yes","2","1","Yes. There cannot be one washing machine broken for months when the entire building only has 2 washing machines total.","There are no options to dry your clothes for an extra couple minutes. You have to do another hour if your clothes are not dry yet."
"2017/05/22 9:10:03 PM CDT","Freshman","Yes","Revelle","Yes","3","5","Laundry machines sometimes don't dry clothes fully, they're all full, or the machines are broken.","Are they making money off the laundry system or is the cost we pay purely a maintenance fee?"
"2017/05/22 9:10:17 PM CDT","Freshman","Yes","Warren","Yes","9","3","theyre all full",""
"2017/05/22 9:12:00 PM CDT","Sophomore","Yes","Warren","Yes","1","9","sometimes machines are full",""
"2017/05/22 9:13:01 PM CDT","Sophomore","Yes","Muir","Yes","1","3","Dryers don't fully dry clothes",""
"2017/05/22 9:18:59 PM CDT","Senior","Yes","Warren","Yes","4","8","Broken washers, underpowered dryers, people forgetting laundry, ",""
"2017/05/22 9:27:25 PM CDT","Freshman","Yes","Warren","Yes","5","2","The washers at Goldberg hall we're constantly broken ",""
"2017/05/22 9:28:22 PM CDT","Freshman","Yes","Warren","Yes","3","8","There are more dryers than washers in the Warren apartment laundry rooms, and the capacity of each washer is a lot less than that of a dryer. To me, this seems a bit strange, as it jeopardizes the utility and availability of the washers. ",""
"2017/05/22 9:34:36 PM CDT","Freshman","Yes","Revelle","Yes","4","1","the dryers never work",""
"2017/05/22 9:36:48 PM CDT","Freshman","Yes","Marshall","Yes","3","5","No vacant machines ",""
"2017/05/22 9:40:48 PM CDT","Freshman","Yes","Muir","Yes","3","3","One of the dryers was broken all winter quarter",""
"2017/05/22 9:43:18 PM CDT","Junior","Yes","Sixth","Yes","3","9","The machine ate my money once... I pressed start but nothing happened and it said ""error""","no"
"2017/05/22 9:46:48 PM CDT","Senior","Yes","ERC","Yes","4","8","I've encountered at least 6 broken laundry machines :/",""
"2017/05/22 9:59:56 PM CDT","Freshman","Yes","Warren","Yes","10","0","",""
"2017/05/22 10:02:00 PM CDT","Freshman","No","Marshall","Yes","3","8","The only issue I've encountered is someone forgetting to take out their clothes from the washer/dryer.","Not systemwise. I just think people should be more aware of how long they're leaving their clothes in after the timer goes off. "
"2017/05/22 10:17:39 PM CDT","Freshman","Yes","Warren","Yes","4","5","",""
"2017/05/22 10:29:21 PM CDT","Senior","Yes","ERC","Yes","4","5","People not taking out their clothes from the machines on time","I'm not a fan of having a separate Laundry account for payments. "
"2017/05/22 10:33:57 PM CDT","Senior","Yes","ERC;Revelle","Yes","2","6","Yes.","I did not understand why they made a separate account for laundry...... Was it to prevent students who lived off campus from using the laundry machines? If this is the reason, then it is unreasonable. The university is suppose to help and support students needs. Students will have to still pay for using the laundry machines, so why prevent them?   "
"2017/05/22 10:50:29 PM CDT","Freshman","Yes","Warren","Yes","2","3","the dryers aren't strong enough even at its highest power so i have to run it twice in order for it to completely dry my clothes",""
"2017/05/22 10:52:12 PM CDT","Freshman","Yes","Revelle","Yes","3","0","These dryers are so loud and awful, they won't even dry my clothes. ",""
"2017/05/22 11:10:48 PM CDT","Junior","Yes","Revelle","Yes","1","0","Yes","No "
"2017/05/22 11:11:19 PM CDT","Junior","Yes","Sixth","Yes","4","2","yes - laundry machines have leaked out water. also constantly broken. there are not machines to satisfy all of us. the laundry still smells weird after. also people never take out their laundry so we have to wait until then","we need new machines"
"2017/05/22 11:37:08 PM CDT","Freshman","Yes","Sixth","Yes","4","4","Not enough machines, and so are broken for weeks",""
"2017/05/22 11:55:51 PM CDT","Freshman","Yes","Revelle","Yes","1","8","",""
"2017/05/23 12:00:21 AM CDT","Freshman","Yes","Muir","Yes","1","6","",""
"2017/05/23 12:06:43 AM CDT","Sophomore","Yes","Sixth","Yes","3","1","machines broken, have a bunch of disgusting stuff in them, smell bad",""
"2017/05/23 12:22:38 AM CDT","Freshman","Yes","ERC","Yes","5","6","i wish credit cards were an option when triton cash card online office is down ",""
"2017/05/23 12:22:43 AM CDT","Sophomore","Yes","Marshall","Yes","2","3","Not drying fully",""
"2017/05/23 12:25:48 AM CDT","Sophomore","Yes","ERC","Yes","3","4","I've encountered many broken machines. I've had my blanket ruined by the dryer as well. It melted some part of my blanket. I've also had a lot of my clothes not dried properly so they're still wet. ","Some of the machines needs to be replaced since they break down so often. HDH should invest in better machines. "
"2017/05/23 12:28:00 AM CDT","Junior","Yes","ERC;Revelle","Yes","3","3","The washers are moldy and I'm highly allergic to mold. I had to bring in special wipes that clean and disinfect mold and I cleaned the washing machines every time I used it.","Please do something about moldy washers :("
"2017/05/23 12:42:02 AM CDT","Sophomore","Yes","Muir","Yes","2","7","Some of the washers stink",""
"2017/05/23 12:43:36 AM CDT","Freshman","Yes","ERC","Yes","4","7","Losing clothes",""
"2017/05/23 12:45:27 AM CDT","Freshman","Yes","Muir","Yes","4","2","There's two washers and dryers in the house, which has a large amount of people who have to share. They also break down often and aren't repaired fast enough.",""
"2017/05/23 12:50:39 AM CDT","Freshman","Yes","Revelle","Yes","2","4","rarely dries completely with one round of drying :(",""
"2017/05/23 12:58:40 AM CDT","Freshman","Yes","Warren","Yes","4","1","Yes",""
"2017/05/23 1:06:30 AM CDT","Senior","Yes","Revelle","Yes","4","8","not enough machines per building (the fleet). The entire building shared 2 washers and 2 dryers. ",""
"2017/05/23 1:06:47 AM CDT","Freshman","Yes","Revelle","No","0","5","The one time I tried to do laundry on campus there were already clothes in and nobody would take them out and I didn't want to be the person who moved them so I just decided to wait until I could go home",""
"2017/05/23 1:08:21 AM CDT","Freshman","Yes","Sixth","Yes","5","5","the machine not working and stealing my money, the dryers not drying properly",""
"2017/05/23 1:09:18 AM CDT","Sophomore","Yes","Revelle","Yes","4","6","A washing machine ruined some of my clothes and blankets, and the dryers sometimes need several rounds to work. ",""
"2017/05/23 1:34:19 AM CDT","Freshman","Yes","Warren","Yes","4","8","",""
"2017/05/23 1:43:06 AM CDT","Sophomore","Yes","ERC;Revelle","Yes","2","2","hitting start but the machine doesn't, and then i come back an hour later with my laundry not done. one time i set the washer to cold and when i took my clothes out they were steaming?","the laundry account is still the same as triton cash, so what's the point of separating the 2?"
"2017/05/23 1:48:30 AM CDT","Freshman","Yes","Muir","Yes","3","7","",""
"2017/05/23 2:04:37 AM CDT","Freshman","Yes","ERC","Yes","5","3","Washed clothes still have detergents; some washers and dryers show they are not in use but you can't insert your card",""
"2017/05/23 2:17:14 AM CDT","Freshman","Yes","Muir","Yes","3","0","No","Way too expensive"
"2017/05/23 2:27:21 AM CDT","Freshman","Yes","ERC","Yes","5","3","Washed clothes still have detergents; some washers and dryers show they are not in use but you can't insert your card",""
"2017/05/23 2:28:57 AM CDT","Freshman","Yes","ERC","Yes","5","3","Washed clothes still have detergents; some washers and dryers show they are not in use but you can't insert your card",""
"2017/05/23 2:31:34 AM CDT","Freshman","Yes","ERC","Yes","3","6","",""
"2017/05/23 2:53:34 AM CDT","Freshman","Yes","Revelle","Yes","1","7","Broken drying machines. ",""
"2017/05/23 3:32:11 AM CDT","Freshman","Yes","Sixth","Yes","4","3","yeah the machines are broken and they take my money ","fix it "
"2017/05/23 3:33:49 AM CDT","Freshman","Yes","Warren","Yes","2","5","People are stupid and don't know how to use tide pods. ","They are never cleaned and can get really gross. "
"2017/05/23 3:46:34 AM CDT","Freshman","Yes","Sixth","Yes","3","4","Yes - machines that did not work that were not labeled accordingly, so I spent my money on a nonworking machine",""
"2017/05/23 3:57:38 AM CDT","Freshman","Yes","ERC","Yes","3","5","Clothes didn't dry at all.","The washers become super dirty and gross."
"2017/05/23 4:13:22 AM CDT","Junior","Yes","Muir","Yes","2","5","",""
"2017/05/23 5:02:48 AM CDT","Freshman","Yes","Warren","Yes","2","6","Laundry room in my hall was always occupied - at one point 3 out of the 4 machines were broken so I would always have to go to a different hall's laundry room.","Coins should be accepted; having to put money into laundry account is somewhat annoying."
"2017/05/23 10:25:36 AM CDT","Freshman","Yes","ERC","Yes","4","0","",""
"2017/05/23 10:31:45 AM CDT","Freshman","Yes","Marshall","Yes","2","7","Laundry deposit only accepts $5 minimum. had to call to put in less so I wouldn't be giving away extra.","Laundry money should have been connected to dining dollars like how I heard it was in prior years"
"2017/05/23 10:52:12 AM CDT","Sophomore","Yes","Revelle","Yes","2","8","",""
"2017/05/23 11:05:35 AM CDT","Sophomore","Yes","Marshall","Yes","4","2","Machines breaking, mold build up in the machines (rubber area of washing machine)","The machines are disgusting and need to be cleaned. "
"2017/05/23 11:08:09 AM CDT","Sophomore","Yes","ERC","Yes","2","8","No","No"
"2017/05/23 11:10:50 AM CDT","Junior","Yes","Muir","Yes","2","7","There was a time where the washers wouldn't actually wash, I paid for it and then it would rotate but never actually start the wash cycle. The dryers were always broken as well.","None"
"2017/05/23 11:14:01 AM CDT","Sophomore","Yes","Warren","Yes","4","7","Broken machines stay broken for weeks, machines have taken my money and not worked, no refund ","The separate laundry account is very strange - seems like there would always be leftover cash when you close your account, so HDH makes like an extra $1.00-$0.50 off of every student that moves off campus. It might not be much, but that adds up if they get it from every single student that lives off campus. Seems suspicious to me, especially when they could just program the card readers to reject people not living on campus if they're concerned about off-campus people using the machines, rarer than having everyone on campus open separate accounts and siphoning off a bunch of money from students. "
"2017/05/23 11:31:07 AM CDT","Freshman","Yes","ERC","Yes","2","5","Clothes don't come out dry, stains won't come out of clothes even if I use stain remover and soak it before ","A lot of broken machines "
"2017/05/23 12:11:22 PM CDT","Freshman","Yes","Sixth","Yes","4","8","Sometimes there aren't enough machines to accomodate students.","There should be an easier way to tell if a laundry machine is being used before we even get to the laundry room."
"2017/05/23 12:12:18 PM CDT","Freshman","Yes","ERC","Yes","1","5","",""
"2017/05/23 12:19:03 PM CDT","Senior","Yes","ERC","Yes","5","2","Washers/dryers typically are not labeled not working and end up wasting money. Additionally, front load washers are the absolute worst. ","Install top load washers and ideally do not take 1week+ to fix broken washers/dryers. "
"2017/05/23 12:19:40 PM CDT","Sophomore","Yes","Warren","Yes","2","8","",""
"2017/05/23 12:24:07 PM CDT","Freshman","Yes","Warren","Yes","4","3","Stop ripping my clothes",""
"2017/05/23 12:32:51 PM CDT","Freshman","Yes","Revelle","Yes","4","5","Having a machine broken and not getting it fixed in a timely manner which causes a delay and overly busy laundry room, especially in the fleets. ",""
"2017/05/23 12:43:14 PM CDT","Freshman","Yes","Muir","Yes","3","6","Broken washer, broken dryer door (opens in middle of cycle and spills clothes), puts money in washer and it doesn't run ","2 washers and 2 dryers for 100 people is sometimes difficult"
"2017/05/23 12:45:39 PM CDT","Junior","Yes","The Village","Yes","3","1","All are broken down or make my clothes smell like piss and it's NOT my detergent","Fix the machines quickly pls we all have better things to do than wait for a machine to open up 🙄🙄🙄🙄"
"2017/05/23 12:58:51 PM CDT","Junior","Yes","Revelle","Yes","3","7","people leave laundry in the machine too long",""
"2017/05/23 1:08:29 PM CDT","Freshman","Yes","Revelle","Yes","3","4","Washers/dryers are always taken. Washer on our floor constantly breaks down",""
"2017/05/23 1:25:45 PM CDT","Freshman","Yes","ERC","No","0","0","",""
"2017/05/23 2:48:50 PM CDT","Sophomore","Yes","ERC","Yes","3","1","My money disappears when I wash my clothes","I wish they'd charging so damn much, and also it takes months for washers and dryers to get fixed when they break."
